host_id,crm_entity_id,host_name,host_type,host_level,state_scope,city_or_region,website,event_page_url,news_or_blog_url,instagram_handle,facebook_url,ticketing_hint,priority_tier,comp_likelihood,gym_crm_overlap,status,notes,market_tier,influence_score,footprint_signal,social_reach_signal,event_activity_signal,scene_centrality_signal,influence_notes
host_9_degrees_waterloo,,9 Degrees Waterloo,gym_operator,venue,NSW,Sydney,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,A,High,Yes,seeded,Sydney venue listed on the official 9 Degrees locations page,major_metro,4,3,4,4,4,Strong central Sydney venue with clear operator-backed event potential.
host_9_degrees_lane_cove,,9 Degrees Lane Cove,gym_operator,venue,NSW,Sydney,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,B,Medium,Yes,seeded,Sydney venue listed on the official 9 Degrees locations page,major_metro,3,3,4,3,4,Useful north-side Sydney venue that expands operator coverage and local event reach.
host_9_degrees_chatswood,,9 Degrees Chatswood,gym_operator,venue,NSW,Sydney,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,B,Medium,Yes,seeded,Sydney venue listed on the official 9 Degrees locations page,major_metro,3,3,4,3,4,Important northern Sydney venue with strong board and training infrastructure.
host_9_degrees_parramatta,,9 Degrees Parramatta,gym_operator,venue,NSW,Sydney,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,B,Medium,Yes,seeded,Western Sydney venue listed on the official 9 Degrees locations page,major_metro,3,3,4,3,4,Useful western Sydney venue and likely source of local comps and social nights.
host_9_degrees_enoggera,,9 Degrees Enoggera,gym_operator,venue,QLD,Brisbane,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,A,High,Yes,seeded,Brisbane venue listed on the official 9 Degrees locations page,major_metro,4,3,4,4,4,Important Brisbane venue under a strong event-oriented operator.
host_9_degrees_morningside,,9 Degrees Morningside,gym_operator,venue,QLD,Brisbane,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,A,High,Yes,seeded,Brisbane venue listed on the official 9 Degrees locations page,major_metro,4,3,4,4,4,Strong east Brisbane venue likely to surface repeat comp and sponsor signals.
host_beyond_bouldering,,Beyond Bouldering,gym_operator,operator,SA,Adelaide,https://beyondbouldering.com.au/,,,beyondbouldering,,Website and socials,A,High,Yes,seeded,Frequent local comp host candidate,major_metro,4,3,4,4,4,High-value Adelaide operator with visible event relevance in its market.
host_beyond_bouldering_kent_town,,Beyond Bouldering Kent Town,gym_operator,venue,SA,Adelaide,https://beyondbouldering.com.au/about/kenttown/,,,beyondbouldering,,Official about page,A,High,Yes,seeded,Kent Town venue listed on the official Beyond Bouldering site,major_metro,4,3,4,4,4,Important Adelaide venue with long hours and clear comp and training relevance.
host_beyond_bouldering_keswick,,Beyond Bouldering Keswick,gym_operator,venue,SA,Adelaide,https://beyondbouldering.com.au/about/keswick/,,,beyondbouldering,,Official about page,B,Medium,Yes,seeded,Keswick venue listed on the official Beyond Bouldering site,major_metro,3,2,4,3,4,Useful Adelaide venue with board training and event-program potential.
host_beyond_bouldering_thebarton,,Beyond Bouldering Thebarton,gym_operator,venue,SA,Adelaide,https://beyondbouldering.com.au/about/thebarton/,,,beyondbouldering,,Official about page,A,High,Yes,seeded,Thebarton venue listed on the official Beyond Bouldering site and used for major operator events,major_metro,4,3,4,4,4,High-value Adelaide venue that appears central to operator-hosted events and comps.
host_boulder_lab,,Boulder Lab,gym_operator,operator,VIC,Melbourne,https://boulderlab.com.au/,,,boulderlabclimbing,,Instagram/Eventbrite,A,High,Yes,seeded,User-highlighted; likely multiple venue comps and series,major_metro,4,4,4,5,4,Strong Melbourne operator with likely series-based comp activity and high review priority.
host_boulder_lab_brunswick,,Boulder Lab Brunswick,gym_operator,venue,VIC,Melbourne,https://boulderlab.com.au/contact,,,boulderlabclimbing,,Official contact page,A,High,Yes,seeded,Brunswick venue listed on the official Boulder Lab locations page,major_metro,4,3,4,4,4,Key inner-Melbourne venue for a strong multi-site operator.
host_boulder_lab_clayton_south,,Boulder Lab Clayton South,gym_operator,venue,VIC,Melbourne,https://boulderlab.com.au/contact,,,boulderlabclimbing,,Official contact page,A,High,Yes,seeded,Clayton South venue listed on the official Boulder Lab locations page,major_metro,4,3,4,4,4,Important south-east Melbourne venue with operator scale and training facilities.
host_boulder_lab_ferntree_gully,,Boulder Lab Ferntree Gully,gym_operator,venue,VIC,Melbourne,https://boulderlab.com.au/contact,,,boulderlabclimbing,,Official contact page,B,Medium,Yes,seeded,Ferntree Gully venue listed on the official Boulder Lab locations page,regional_anchor,3,3,4,3,3,Strong outer-east Melbourne venue that broadens operator footprint and likely local event coverage.
host_northside_boulders,,Northside Boulders,gym_operator,operator,VIC,Melbourne,https://northsideboulders.com/,,,northsideboulders,,Instagram/Eventbrite,A,High,Yes,seeded,High Melbourne relevance,major_metro,4,3,4,4,4,Important Melbourne bouldering operator with consistent scene visibility.
host_northside_boulders_brunswick,,Northside Boulders Brunswick,gym_operator,venue,VIC,Melbourne,https://northsideboulders.com/,,,northsideboulders,,Official website,A,High,Yes,seeded,Brunswick Northside venue listed on the official website and used for reopening comp promotion,major_metro,4,3,4,4,4,One of the most visible Northside venues and likely a strong local event host.
host_northside_boulders_northcote,,Northside Boulders Northcote,gym_operator,venue,VIC,Melbourne,https://northsideboulders.com/,,,northsideboulders,,Official website,B,Medium,Yes,seeded,Northcote Northside venue listed on the official website,major_metro,3,2,4,3,4,Useful north Melbourne venue with clear community value and operator overlap.
host_lactic_factory_abbotsford,,The Lactic Factory Abbotsford,gym_operator,venue,VIC,Melbourne,https://northsideboulders.com/,,,thelacticfactory,,Official website,B,Medium,Yes,seeded,Abbotsford venue listed on the Northside website as part of the wider network,major_metro,3,2,3,3,4,Important Abbotsford venue inside the Northside ecosystem and worth tracking separately.
host_rocket_climbing,,Rocket Climbing,gym_operator,venue,VIC,Melbourne,https://rocketclimbing.com.au/,,,rocketclimbing,,Instagram/Facebook,A,High,Yes,seeded,User-highlighted; likely comp and social event host,major_metro,4,3,4,4,4,High-interest Melbourne venue with clear comp and community potential.
host_1up_bouldering,,1UP Bouldering,gym_operator,venue,NSW,Sydney,https://www.oneupbouldering.com.au/,,,1upbouldering,,Instagram/Facebook,A,High,Yes,seeded,User-highlighted as Up/1UP comp source,major_metro,4,3,4,4,4,Sydney venue with strong local comp relevance and good scene visibility.
host_stax_climbing,,Stax Climbing,industry_partner,brand,Australia,Australia,https://staxclimbing.com.au/,,,staxclimbing,,Instagram/Facebook,B,Medium,No,seeded,May appear as comp host partner or routesetting/hold supplier or event co-promoter,national,3,3,3,3,4,National climbing-industry brand more useful for partner mapping than host coverage.
host_blochaus,,BlocHaus,gym_operator,operator,Australia,Sydney/Melbourne/Canberra,https://www.blochaus.com.au/,,,blochausbouldering,,Instagram/Facebook,B,High,Yes,seeded,Multi-city bouldering operator with gyms in Sydney and Melbourne and Canberra,national,4,4,4,4,4,Cross-market operator with good comp and community relevance.
host_blochaus_sydney_marrickville,,BlocHaus Sydney Marrickville,gym_operator,venue,NSW,Sydney,https://syd.blochaus.com.au/about/,,,blochausbouldering,,Official about page,B,Medium,Yes,seeded,Marrickville BlocHaus venue listed on the official Sydney about page,major_metro,4,3,4,3,4,Important inner-west Sydney bouldering venue with strong community programming.
host_blochaus_sydney_leichhardt,,BlocHaus Sydney Leichhardt,gym_operator,venue,NSW,Sydney,https://syd.blochaus.com.au/about/,,,blochausbouldering,,Official about page,B,Medium,Yes,seeded,Leichhardt BlocHaus venue listed on the official Sydney about page,major_metro,3,2,4,2,4,Useful second Sydney venue that rounds out BlocHaus operator coverage.
host_blochaus_melbourne_port,,BlocHaus Melbourne Port Melbourne,gym_operator,venue,VIC,Melbourne,https://mlb.blochaus.com.au/about/,,,blochausbouldering,,Official about page,B,Medium,Yes,seeded,Port Melbourne BlocHaus venue listed on the official Melbourne about page,major_metro,4,3,4,3,4,Strong Melbourne bouldering venue with family and class programming.
host_nomad,,NOMAD Bouldering,gym_operator,operator,NSW,Sydney,https://www.nomadbouldering.com.au/,,,nomadbouldering,,Instagram/Facebook,B,High,Yes,seeded,Sydney comp/event host candidate,major_metro,4,3,4,4,4,Sydney operator with strong local event potential and visible scene presence.
host_nomad_annandale,,NOMAD Annandale,gym_operator,venue,NSW,Sydney,https://www.nomadbouldering.com.au/locations/annandale,,,nomadbouldering,,Official locations page,B,High,Yes,seeded,Original NOMAD venue in Annandale with community comps and clinics,major_metro,4,3,4,4,4,Core NOMAD venue and likely the most important one for event and community signal.
host_nomad_gladesville,,NOMAD Gladesville,gym_operator,venue,NSW,Sydney,https://www.nomadbouldering.com.au/locations/gladesville,,,nomadbouldering,,Official locations page,B,Medium,Yes,seeded,Newest NOMAD venue in Gladesville listed on the official locations page,major_metro,3,2,4,3,4,Important north Sydney venue that expands NOMAD's event and community network.
host_climb_fit,,Climb Fit,gym_operator,operator,NSW,Sydney,https://www.climbfit.com.au/,,,climbfit,,Website/Facebook,B,High,Yes,seeded,Sydney operator with competition/event potential,major_metro,4,4,3,4,4,Established Sydney operator with broad local footprint and comp upside.
host_climb_fit_kirrawee,,Climb Fit Kirrawee,gym_operator,venue,NSW,Sydney,https://www.climbfit.com.au/location/climbfit-kirrawee/,,,climbfit,,Website/Facebook,B,High,Yes,seeded,Large Kirrawee venue with over 3500 square metres of climbing and bouldering facilities,major_metro,4,4,3,4,4,One of Climb Fit's strongest Sydney venues with clear scale and community value.
host_climb_fit_st_leonards,,Climb Fit St Leonards,gym_operator,venue,NSW,Sydney,https://www.climbfit.com.au/location/climbfit-st-leonards/,,,climbfit,,Website/Facebook,B,High,Yes,seeded,St Leonards venue with major rope and bouldering inventory plus regular weekly resets,major_metro,4,4,3,4,4,High-value north Sydney venue with strong training and community centrality.
host_climb_fit_macquarie,,Climb Fit Macquarie Park,gym_operator,venue,NSW,Sydney,https://www.climbfit.com.au/location/climb-fit-macquarie/,,,climbfit,,Website/Facebook,B,Medium,Yes,seeded,Macquarie Park venue with significant bouldering and auto-belay infrastructure and kids offerings,major_metro,3,3,3,3,3,Important newer Sydney venue that broadens Climb Fit's metro footprint.
host_pulse_climbing,,Pulse Climbing,gym_operator,operator,NSW,Newcastle/Central Coast,https://pulseclimbing.com.au/,,,pulseclimbing,,Instagram/Facebook,B,Medium,Yes,seeded,Regional NSW operator,regional_anchor,3,3,3,3,3,Regional operator that likely anchors Newcastle and Central Coast coverage.
host_pulse_adamstown,,Pulse Climbing Adamstown,gym_operator,venue,NSW,Newcastle,https://pulseclimbing.com.au/locations/adamstown/,,,pulseclimbing,,Official locations page,B,High,Yes,seeded,Original Pulse venue in Adamstown with top-rope climbing and bouldering,regional_anchor,4,3,3,4,4,Key Newcastle venue and likely the strongest Pulse event and community node.
host_pulse_gosford,,Pulse Climbing Gosford,gym_operator,venue,NSW,Central Coast,https://pulseclimbing.com.au/locations/gosford/,,,pulseclimbing,,Official locations page,B,Medium,Yes,seeded,Gosford venue serving the Central Coast and listed on the official Pulse locations page,regional_anchor,3,2,3,3,3,Important Central Coast venue that broadens regional NSW coverage.
host_pulse_warners_bay,,Pulse Climbing Warners Bay,gym_operator,venue,NSW,Lake Macquarie,https://pulseclimbing.com.au/locations/warners-bay/,,,pulseclimbing,,Official locations page,B,Medium,Yes,seeded,Warners Bay venue described by Pulse as Newcastle area's first dedicated indoor bouldering gym,regional_anchor,3,2,3,3,3,Useful Lake Macquarie venue with distinct local identity and community signal.
host_pulse_maitland,,Pulse Climbing Maitland,gym_operator,venue,NSW,Hunter Valley,https://pulseclimbing.com.au/locations/,,,pulseclimbing,,Official locations page,B,Medium,Yes,seeded,Maitland venue described by Pulse as the Hunter Valley's first dedicated indoor bouldering gym,regional_anchor,3,2,3,3,3,Important Hunter Valley venue that expands regional coverage beyond Newcastle proper.
host_hangdog,,Hangdog Climbing Gym,gym_operator,venue,NSW,Wollongong,https://hangdog.com.au/,https://hangdog.com.au/events/,,hangdogclimbinggym,,Official website/events,B,High,Yes,verified,Wollongong ropes gym with active events page and long-running local scene presence,regional_anchor,4,3,3,4,5,Core Illawarra venue with strong community longevity and clear event-host potential.
host_dynomite,,Dynomite Bouldering,gym_operator,operator,NSW,Wollongong/Albion Park,https://www.dynomite.net.au/,,,dynomitebouldering,,Official website,B,High,Yes,verified,Illawarra bouldering operator with two official locations and visible social comp programming,regional_anchor,4,3,4,4,4,Important south-coast operator that expands beyond ropes-only coverage in the Wollongong market.
host_dynomite_north_wollongong,,Dynomite Bouldering North Wollongong,gym_operator,venue,NSW,Wollongong,https://www.dynomite.net.au/,,,dynomitebouldering,,Official website,B,High,Yes,verified,North Wollongong venue listed on the official Dynomite site with regular specials and whats-on promotion,regional_anchor,4,3,4,4,4,Key Illawarra bouldering venue with good local scene visibility and recurring community signal.
host_dynomite_albion_park,,Dynomite Bouldering Albion Park Rail,gym_operator,venue,NSW,Albion Park Rail,https://www.dynomite.net.au/,,,dynomitebouldering,,Official website,B,Medium,Yes,verified,Albion Park Rail venue listed on the official Dynomite site as the second operator location,regional_anchor,3,2,4,3,3,Useful Shellharbour-area venue that broadens south-coast coverage and local comp discovery.
host_beta_one,,Beta One Bouldering Gym,gym_operator,venue,NSW,Sydney/South Granville,https://betaone.com.au/,https://betaone.com.au/pages/about-us,,betaonebouldering,,Official website,B,Medium,Yes,verified,West Sydney bouldering gym in South Granville with current pricing opening hours and training space on its official site,major_metro,3,2,3,3,3,Useful western Sydney venue with a clear local community footprint and good completeness value.
host_climb_oz_blacktown,,Climb Oz Blacktown,gym_operator,venue,NSW,Sydney/Blacktown,https://climboz.com/,,,climbozau,,Official website,B,Medium,Yes,verified,Blacktown climbing gym with ropes autobelays bouldering and training functions described on its current official site,major_metro,3,3,2,3,3,Important western Sydney rope gym and a good complement to the bouldering-heavy venue mix.
host_climbing_centre_penrith,,The Climbing Centre Penrith,gym_operator,venue,NSW,Sydney/Penrith,https://climbingcentre.com.au/,,https://climbingcentre.com.au/about-us/,,https://www.facebook.com/TheClimbingCentrePenrith/,Official website,B,Medium,Yes,verified,Penrith indoor climbing gym with current hours gear hire classes and advanced bouldering area on its official site,major_metro,3,3,2,3,3,Important outer-west Sydney venue with family and beginner reach plus enough scale to matter for local events.
host_the_nest_nowra,,The Nest,gym_operator,venue,NSW,Nowra/South Coast,https://www.climbthenest.com.au/,,https://www.climbthenest.com.au/home,climbthenest,,Official website,B,High,Yes,verified,New South Coast climbing gym in South Nowra with bouldering lead top-rope training and recurring community sessions on its official site,regional_anchor,4,3,4,4,4,Strong Shoalhaven anchor and one of the best regional NSW additions surfaced by the state sweep.
host_hardrock,,Hardrock Climbing,gym_operator,operator,VIC,Melbourne,https://hardrock.com.au/,,,hardrockclimbing,,Instagram/Facebook,B,Medium,Yes,seeded,Melbourne legacy operator,major_metro,3,3,3,3,4,Legacy Melbourne operator with long-scene relevance even if event activity is more moderate.
host_hardrock_cbd,,Hardrock Climbing CBD,gym_operator,venue,VIC,Melbourne,https://www.hardrock.com.au/contact/,,,hardrockclimbing,,Official contact page,B,High,Yes,seeded,Hardrock CBD is the main rope climbing venue on Franklin Street in central Melbourne,major_metro,4,4,3,4,5,Historic CBD venue with strong lead and community significance.
host_hardrock_nunawading,,Hardrock Climbing Nunawading,gym_operator,venue,VIC,Melbourne,https://www.hardrock.com.au/recruitment/,,,hardrockclimbing,,Official recruitment/news pages,B,Medium,Yes,seeded,Hardrock official pages reference a second climbing venue at Nunawading,major_metro,3,3,3,3,4,Important eastern Melbourne venue though it still needs a stronger direct location page captured later.
host_the_crux,,The Crux,gym_operator,venue,VIC,Melbourne,https://www.thecruxclimbing.com.au/,,,thecruxclimbing,,Instagram/Facebook,B,Medium,Yes,seeded,Comp-capable venue,major_metro,3,2,3,3,3,Melbourne venue worth tracking for venue-specific comp activity.
host_the_lactic_factory,,The Lactic Factory,gym_operator,venue,VIC,Melbourne,https://thelacticfactory.com.au/,,,thelacticfactory,,Instagram/Facebook,B,Medium,Yes,seeded,Melbourne bouldering venue,major_metro,3,2,3,3,3,Melbourne bouldering venue with useful local scene relevance.
host_gravity_worx,,Gravity Worx,gym_operator,venue,VIC,Melbourne,https://gravityworx.com.au/,,,gravityworx,,Instagram/Facebook,B,Medium,Yes,seeded,Melbourne comp-capable venue,major_metro,3,2,3,3,3,Melbourne venue with likely event utility but less obvious operator-scale footprint.
host_flow_climbing,,Flow Climbing,gym_operator,venue,VIC,Melbourne,https://flowclimbing.com.au/,,,flowclimbingmelbourne,,Instagram/Facebook,B,Medium,Yes,seeded,Melbourne venue with possible comp activity,major_metro,3,2,3,3,3,Melbourne venue with moderate research value and possible comp signal.
host_la_roca,,La Roca Boulders,gym_operator,venue,VIC,Melbourne,https://laroca.com.au/,,,larocaboulders,,Instagram/Facebook,B,Medium,Yes,seeded,Melbourne venue,major_metro,3,2,3,2,3,Useful Melbourne venue for coverage even if event signal is still moderate.
host_the_rock_geelong,,The Rock Adventure Centre,gym_operator,venue,VIC,Geelong/Newtown,https://rockadventures.com.au/,,,therockadventurecentre,,Official website,B,High,Yes,verified,Geelong climbing centre with ropes bouldering training walls and community event history on its official site,regional_anchor,4,3,3,4,4,Key Geelong venue and likely the main competition-capable regional gym in south-west Victoria.
host_industry_boulders,,Industry Boulders,gym_operator,venue,VIC,Geelong/Grovedale,https://www.industryboulders.com.au/index.html,,,industry.boulders,,Official website,B,Medium,Yes,verified,Geelong indoor bouldering facility with current hours memberships and regular resets on its official site,regional_anchor,3,2,3,3,3,Important Geelong bouldering-only venue that complements The Rock and improves regional Victorian completeness.
host_friction_bouldering,,Friction Bouldering,gym_operator,venue,VIC,Ballarat/Delacombe,https://frictionbouldering.com/,,https://frictionbouldering.com/about,,https://www.facebook.com/frictionbouldering/,Official website,B,Medium,Yes,verified,Ballarat's first indoor bouldering gym with training boards coaching and current pricing on its official site,regional_anchor,3,2,3,3,3,Strong Ballarat anchor and a meaningful western Victorian addition that the earlier pass was missing.
host_beta_blvd,,Beta Blvd,gym_operator,venue,QLD,Brisbane,https://betablvd.com.au/,,,betablvd,,Instagram/Facebook,B,High,Yes,seeded,Brisbane bouldering venue,major_metro,4,3,4,4,4,Brisbane venue with strong likely scene presence and event potential.
host_crank,,Crank Indoor Climbing,gym_operator,venue,QLD,Brisbane,https://www.crankclimbing.com/,,,crankclimbing,,Instagram/Facebook,B,High,Yes,seeded,Brisbane ropes/mixed venue with comp potential,major_metro,4,3,4,4,4,Brisbane venue with clear comp upside and broad appeal.
host_paramount,,Paramount Adventure Centre,gym_operator,venue,QLD,Brisbane,https://www.paramountsports.com.au/,,,paramountadventurecentre,,Instagram/Facebook,B,Medium,Yes,seeded,Family/youth angle,major_metro,3,3,3,3,3,Broad family and youth angle makes it relevant even if not a pure climbing-first signal.
host_flow_bouldering_sc,,Flow Bouldering,gym_operator,venue,QLD,Sunshine Coast,https://flowbouldering.com/,,,flowbouldering,,Instagram/Facebook,B,Medium,Yes,seeded,Sunshine Coast venue,regional_anchor,3,2,3,3,3,Looks like a meaningful Sunshine Coast anchor venue for regional coverage.
host_rockit_climbing,,Rockit Climbing Gym,gym_operator,venue,QLD,Sunshine Coast,https://www.rockitclimbinggym.com.au/,,,rockitclimbinggym,,Instagram/Facebook,B,Medium,Yes,seeded,Regional venue,regional_anchor,3,2,3,3,3,Regional venue that should matter for Sunshine Coast event coverage.
host_urban_xtreme,,Urban Xtreme,venue_operator,venue,QLD,Brisbane,https://www.urban-xtreme.com.au/,,,urbanxtremebrisbane,,Website/Facebook,C,Medium,Yes,seeded,Cross-sport venue with climbing wall/events,major_metro,2,2,2,2,2,Useful cross-sport discovery host but less central than dedicated climbing gyms.
host_alpine_indoor,,Alpine Indoor Climbing,gym_operator,venue,QLD,Toowoomba,https://www.alpineindoorclimbing.com.au/,,,alpineindoorclimbing,,Facebook,C,Medium,Yes,seeded,Regional QLD venue,regional_anchor,2,2,2,2,2,Regional Toowoomba coverage venue with modest visible scene influence.
host_core_climbing,,Core Climbing,gym_operator,venue,QLD,Gold Coast/Carrara,https://www.coreclimbing.com.au/,,,coreclimbing,,Official website,B,High,Yes,verified,Gold Coast bouldering gym in Carrara with current pricing memberships and training programming on its official site,major_metro,4,3,4,4,4,Important Gold Coast venue that should sit with Cutloose as a core SEQ host rather than being misclassified into Brisbane.
host_cairns_climbing_club,,Cairns Climbing Club,community_org,venue,QLD,Cairns/Redlynch,https://cairnsclimbingclub.com.au/,,,cairnsclimbingclub,,Official website,B,Medium,Yes,verified,Volunteer-run club with regular climbing nights at The Northern Outlook in Redlynch,regional_anchor,3,2,2,3,4,Important Far North Queensland indoor climbing node even though it operates as a club rather than a commercial gym.
host_defy_gravity_cairns,,Defy Gravity Cairns,gym_operator,venue,QLD,Cairns/Manunda,https://www.thecrag.com/en/climbing/australia/cairns/area/8001687792,,,defy_gravity_cairns,https://www.facebook.com/profile.php?id=100094419644339,Socials via theCrag,C,Low,Yes,needs_review,Cairns bouldering area inside the wider Defy Gravity family venue at Raintrees Shopping Centre,local,2,1,2,1,2,Useful Cairns coverage lead but still needs a stronger direct official website capture before it should rank higher.
host_rocksports,,Rocksports,gym_operator,venue,QLD,Townsville,https://www.rocksports.com.au/,,,rocksportstownsville,,Facebook,C,Low,Yes,seeded,Regional venue,regional_anchor,2,2,2,1,2,Regional Townsville venue kept mainly for coverage and local event detection.
host_wall_walkers,,Wall Walkers,gym_operator,venue,QLD,Hervey Bay,https://www.wallwalkers.com.au/,,,wallwalkersbouldering,,Facebook,C,Low,Yes,seeded,Regional venue,regional_anchor,2,2,2,1,2,Hervey Bay venue with lower visible scene signal but worthwhile for completeness.
host_tannum_fitness,,Tannum Fitness Centre,venue_operator,venue,QLD,Tannum Sands/Gladstone,https://www.tannumfitness.com.au/,,https://www.tannumfitness.com.au/about,,https://www.facebook.com/TannumFitnessCentre/,Official website,C,Low,Yes,verified,Central Queensland fitness and leisure centre with an indoor rock climbing wall and current official programming pages,regional_anchor,2,2,2,1,2,Useful Gladstone-region coverage venue even though climbing is only one part of the wider leisure offer.
host_ascend_bouldering,,Ascend Bouldering,gym_operator,venue,NSW,Coffs Harbour,https://ascendbouldering.com.au/,,https://ascendbouldering.com.au/our-location/,ascendboulderingcoffs,,Official website,B,Medium,Yes,verified,Coffs Harbour bouldering gym with current location hours and beginner-facing info on its official site,regional_anchor,3,2,3,3,3,Important Mid North Coast venue that fills a real NSW regional gap and should produce local event/community signal.
host_rise_climbing_albury,,Rise Climbing Albury,gym_operator,venue,NSW,Albury/Thurgoona,https://riseclimbing.com.au/,,https://riseclimbing.com.au/faqs/,riseclimbingalbury,,Official website,B,Medium,Yes,verified,Family-run bouldering gym opened in November 2025 with current hours pricing school-group offers and beginner programming on its official site,regional_anchor,3,2,3,3,3,Strong new Albury-Wodonga anchor and exactly the kind of regional venue that would have been easy to miss without a search-matrix pass.
host_rocky_climb,,Rocky Climb,gym_operator,venue,QLD,Rockhampton,https://rockyclimb.com/,,,rockyclimbrockhampton,,Official website,C,Medium,Yes,needs_review,Central Queensland rope and bouldering gym officially marketing memberships ahead of its early May 2026 opening,regional_anchor,3,2,3,2,3,Promising new regional anchor that should be upgraded quickly once the opening and first events are confirmed.
host_boulderlounge_gympie,,Boulderlounge,gym_operator,venue,QLD,Gympie,https://www.boulderlounge.com.au/,,,boulderloungegympie,,Official website,C,Low,Yes,needs_review,Gympie bouldering gym officially advertising a May 2026 opening and foundation memberships,local,2,1,2,1,2,Useful near-term watchlist venue for Gympie even though it is not yet confirmed as an operating host.
host_adrenaline_vault,,Adrenaline Vault,gym_operator,operator,WA,Perth,https://www.adrenalinevault.com.au/locations/,,,adrenalinevault,,Instagram/Facebook,B,Medium,Yes,seeded,WA multi-site operator with Belmont and Cockburn Central locations,major_metro,4,4,4,3,4,Important Perth operator with multi-site footprint and solid community relevance.
host_adrenaline_vault_belmont,,Adrenaline Vault Belmont,gym_operator,venue,WA,Perth,https://adrenalinevault.com.au/locations/,,,adrenalinevault,,Website/Instagram,B,Medium,Yes,seeded,Belmont venue listed by operator as one of two Perth locations,major_metro,4,4,4,3,4,Major Perth rope and bouldering venue with strong operator backing.
