sponsor_entity_id,normalized_name,best_au_contact_path,contact_path_owner,contact_path_type,contact_email,confidence,next_best_path,notes
sponsor_crux_gear,Crux Gear,Direct brand contact,Crux Gear,direct_brand,,medium,Wild Earth retail path,Direct founder route likely available but not yet captured.
sponsor_redpoint_climbing,Redpoint Climbing,Direct brand contact,Redpoint Climbing,direct_brand,support@redpointclimbing.com.au,high,Stockist-network validation,Clear direct route.
sponsor_paddy_pallin,Paddy Pallin,Direct retailer contact,Paddy Pallin,direct_retailer,,medium,Store-level or category-buyer lookup,Strong retailer-led sponsor route.
sponsor_climbing_anchors,Climbing Anchors,Direct retailer or wholesale contact,Climbing Anchors,direct_retailer_or_wholesale,sales@climbinganchors.com,high,Brand-intro route for stocked labels,One of the clearest local commercial paths in the market.
sponsor_happy_biner,Happy Biner,Direct retailer contact,Happy Biner,direct_retailer,,medium,Category buyer lookup,Clear retailer prospect but named contact still missing.
sponsor_k2_base_camp,K2 Base Camp,Direct retailer contact,K2 Base Camp,direct_retailer,info@k2.com.au,high,Brand-intro route via stocked categories,Clear retailer route.
sponsor_the_climbing_shop,The Climbing Shop,Direct retailer contact,The Climbing Shop,direct_retailer,,medium,Brand-intro route for stocked labels,Clear retailer route but named contact still missing.
sponsor_pinnacle_sports,Pinnacle Sports,Direct retailer contact,Pinnacle Sports,direct_retailer,online@pinnaclesports.com.au,high,Brand-intro route for stocked labels,Clear retailer route.
sponsor_wall_toys,Wall Toys,Direct retailer contact,Wall Toys,direct_retailer,,medium,Brand-intro route for stocked labels,Clear retailer route but named contact still missing.
sponsor_friction_addiction,Friction Addiction,Direct distributor contact,Friction Addiction,distributor,sales@frictionaddiction.com.au,high,Distributed brand route via Unparallel,Useful both as sponsor and as a contact-path owner.
sponsor_als_trade,ALS Trade,Direct distributor contact,ALS Trade,distributor,info@alstrade.com.au,high,Distributed brand route via Ocun,Useful both as sponsor and as a contact-path owner.
sponsor_spelean,Spelean,Direct distributor contact,Spelean,distributor,sales@spelean.com.au,high,Brand route via Petzl,Strong Petzl access point.
sponsor_southern_cross_equipment,Southern Cross Equipment,Direct distributor contact,Southern Cross Equipment,distributor,sales@southerncross.net.au,high,Brand routes via DMM and Edelrid,Strong access point for imported hardware brands.
sponsor_scotty_dog_resoles,Scotty Dog Resoles,Direct service contact,Scotty Dog Resoles,direct_service,scott@scottydog.com.au,high,Retail referral path via K2 Base Camp,Clear direct route.
sponsor_rubber_styx,Rubber Styx,Direct service contact,Rubber Styx,direct_service,,medium,Local direct lookup,Good fit but named email still missing.
sponsor_sticky_joes_resoles,Sticky Joe's Resoles,Direct service contact,Sticky Joe's Resoles,direct_service,,medium,Authorised brand validation via La Sportiva,Good fit but named email still missing.
sponsor_mammut,Mammut,Australia and New Zealand distributor,This Way Out,distributor,,medium,Official global contact form at Mammut,This Way Out publicly states it is Mammut's exclusive distribution partner across Australia and New Zealand; direct contact still needs confirmation.
sponsor_rhino_skin_solutions,Rhino Skin Solutions,Direct marketing and sponsorship contact,Rhino Skin Solutions,direct_brand,Justin@rhinoskinsolutions.com,high,Australian retail route via Wild Earth or Climbing Anchors,Public contact page explicitly lists marketing and sponsorship contact.
sponsor_friction_labs,Friction Labs,Official contact form,Friction Labs,official_brand_contact,,medium,Australian retail routes via Wild Earth or Climbing Anchors,Direct form is clear but no public named AU rep has been surfaced.
sponsor_chalk_cartel,Chalk Cartel,Official brand contact form,Chalk Cartel,official_brand_contact,,medium,Australian retail route via Wild Earth,Brand contact page explicitly welcomes dealer athlete and event support enquiries.
sponsor_reset,Reset,Australian distributor,Friction Addiction,distributor,sales@frictionaddiction.com.au,high,Specialist retail path via Climbing Anchors,Best practical AU route appears to be distributor-led through Friction Addiction.
sponsor_lattice_training,Lattice Training,Direct brand contact,Lattice Training,direct_brand,contact@latticetraining.com,high,Australian retail route via Climbing Anchors,Direct contact path is public and aligns with training products and coaching.
sponsor_getya,Getya,Australian retail route,Wild Earth,retail_route,,medium,Direct brand lookup,Current best visible AU path is retailer-led.
