host_contact_id,host_id,host_location_id,contact_type,contact_label,contact_value,is_primary,is_public,source_url,status,notes
contact_hangdog_form,host_hangdog,loc_hangdog_main,contact_form,General enquiry form,https://hangdog.com.au/contact-us/,Yes,Yes,https://hangdog.com.au/contact-us/,verified,Official site exposes public contact via form rather than a direct listed inbox.
contact_core_phone,host_core_climbing,loc_core_carrara_main,phone,Front desk,07 5530 2323,Yes,Yes,https://www.coreclimbing.com.au/contact/,verified,Primary public phone on the official site.
contact_core_email,host_core_climbing,loc_core_carrara_main,general_email,General enquiries,team@coreclimbing.com.au,Yes,Yes,https://www.coreclimbing.com.au/contact/,verified,Primary public email on the official site.
contact_cutloose_phone,host_cutloose,loc_cutloose_main,phone,Front desk,07 5594 3828,Yes,Yes,https://cutlooseindoorclimbing.com.au/contact/,verified,Primary public phone on the official site.
contact_cutloose_email,host_cutloose,loc_cutloose_main,general_email,General enquiries,team@cutlooseindoorclimbing.com.au,Yes,Yes,https://cutlooseindoorclimbing.com.au/contact/,verified,Primary public email on the official site.
contact_climb_brisbane_phone,host_climb_brisbane,loc_climb_brisbane_main,phone,Front desk,07 3186 8858,Yes,Yes,https://climb-australia.com.au/brisbane-contact-us/,verified,Primary public phone on the official site.
contact_climb_brisbane_form,host_climb_brisbane,loc_climb_brisbane_main,contact_form,General enquiry form,https://climb-australia.com.au/brisbane-contact-us/,Yes,Yes,https://climb-australia.com.au/brisbane-contact-us/,verified,Official site uses a form rather than publishing a direct email inbox.
contact_climb_toowoomba_phone,host_climb_toowoomba,loc_climb_toowoomba_main,phone,Front desk,07 4588 8865,Yes,Yes,https://climb-australia.com.au/toowoomba-sensory-sessions/,verified,Primary public phone on the official site.
contact_climb_toowoomba_form,host_climb_toowoomba,loc_climb_toowoomba_main,contact_form,General enquiry form,https://climb-australia.com.au/toowoomba-sensory-sessions/,Yes,Yes,https://climb-australia.com.au/toowoomba-sensory-sessions/,verified,Official site uses a form rather than publishing a direct email inbox.
contact_9d_alex_phone,host_9_degrees_alexandria,loc_9d_alexandria,phone,Front desk,0408 870 473,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_alex_email,host_9_degrees_alexandria,loc_9d_alexandria,general_email,General enquiries,alexandria@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue email.
contact_9d_waterloo_phone,host_9_degrees_waterloo,loc_9d_waterloo,phone,Front desk,0418 124 488,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_waterloo_email,host_9_degrees_waterloo,loc_9d_waterloo,general_email,General enquiries,waterloo@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue email.
contact_9d_lanecove_phone,host_9_degrees_lane_cove,loc_9d_lane_cove,phone,Front desk,0438 375 654,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_lanecove_email,host_9_degrees_lane_cove,loc_9d_lane_cove,general_email,General enquiries,lanecove@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue email.
contact_9d_chatswood_phone,host_9_degrees_chatswood,loc_9d_chatswood,phone,Front desk,0417 407 361,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_chatswood_email,host_9_degrees_chatswood,loc_9d_chatswood,general_email,General enquiries,chatswood@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue email.
contact_9d_parra_phone,host_9_degrees_parramatta,loc_9d_parramatta,phone,Front desk,0491 970 173,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_parra_email,host_9_degrees_parramatta,loc_9d_parramatta,general_email,General enquiries,parramatta@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue email.
contact_9d_enoggera_phone,host_9_degrees_enoggera,loc_9d_enoggera,phone,Front desk,0413 131 701,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_enoggera_email,host_9_degrees_enoggera,loc_9d_enoggera,general_email,General enquiries,brisbane@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the shared Brisbane email.
contact_9d_morningside_phone,host_9_degrees_morningside,loc_9d_morningside,phone,Front desk,0412 466 251,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the venue phone.
contact_9d_morningside_email,host_9_degrees_morningside,loc_9d_morningside,general_email,General enquiries,brisbane@9degrees.com.au,Yes,Yes,https://www.9degrees.com.au/locations,verified,Official locations page lists the shared Brisbane email.
contact_bb_kent_phone,host_beyond_bouldering_kent_town,loc_bb_kent_town,phone,Front desk,08 8338 2949,Yes,Yes,https://beyondbouldering.com.au/about/kenttown/,verified,Official venue page lists the venue phone.
contact_bb_keswick_phone,host_beyond_bouldering_keswick,loc_bb_keswick,phone,Front desk,08 8296 4375,Yes,Yes,https://beyondbouldering.com.au/about/keswick/,verified,Official venue page lists the venue phone.
contact_bb_general_email,host_beyond_bouldering_kent_town,,general_email,General enquiries,hello@beyondbouldering.com.au,No,Yes,https://beyondbouldering.com.au/about/,needs_review,Operator-level public inbox should be reused across venues until venue-specific email capture is confirmed.
contact_bl_brunswick_phone,host_boulder_lab_brunswick,loc_bl_brunswick,phone,Front desk,03 9304 4540,Yes,Yes,https://boulderlab.com.au/contact,verified,Official contact page lists the venue phone.
contact_bl_clayton_phone,host_boulder_lab_clayton_south,loc_bl_clayton,phone,Front desk,03 8797 3448,Yes,Yes,https://boulderlab.com.au/contact,verified,Official contact page lists the venue phone.
contact_bl_ferntree_phone,host_boulder_lab_ferntree_gully,loc_bl_ferntree,phone,Front desk,03 8719 6444,Yes,Yes,https://boulderlab.com.au/contact,verified,Official contact page lists the venue phone.
contact_nomad_ann_phone,host_nomad_annandale,loc_nomad_annandale,phone,Front desk,0402 670 784,Yes,Yes,https://www.nomadbouldering.com.au/about/contact-us,verified,Official site lists the venue phone.
contact_nomad_gla_phone,host_nomad_gladesville,loc_nomad_gladesville,phone,Front desk,0434 851 033,Yes,Yes,https://www.nomadbouldering.com.au/locations/gladesville,verified,Official site lists the venue phone.
contact_nomad_general_email,host_nomad_annandale,,general_email,General enquiries,info@nomadbouldering.com.au,No,Yes,https://www.nomadbouldering.com.au/about/contact-us,verified,Official site lists the shared operator email.
contact_cf_kirrawee_phone,host_climb_fit_kirrawee,loc_cf_kirrawee,phone,Front desk,02 9545 3407,Yes,Yes,https://www.climbfit.com.au/location/contact/,verified,Official contact page lists the venue phone.
contact_cf_stleonards_phone,host_climb_fit_st_leonards,loc_cf_stleonards,phone,Front desk,02 9436 4600,Yes,Yes,https://www.climbfit.com.au/location/contact/,verified,Official contact page lists the venue phone.
contact_cf_macquarie_phone,host_climb_fit_macquarie,loc_cf_macquarie,phone,Front desk,02 8080 8072,Yes,Yes,https://www.climbfit.com.au/location/contact/,verified,Official contact page lists the venue phone.
contact_cf_form,host_climb_fit_st_leonards,,contact_form,General enquiry form,https://www.climbfit.com.au/location/contact/,Yes,Yes,https://www.climbfit.com.au/location/contact/,verified,Official site exposes public contact via form rather than a clearly listed general inbox.
contact_pulse_adam_phone,host_pulse_adamstown,loc_pulse_adamstown,phone,Front desk,02 4023 4743,Yes,Yes,https://pulseclimbing.com.au/locations/adamstown/,verified,Official site lists the venue phone.
contact_pulse_adam_email,host_pulse_adamstown,loc_pulse_adamstown,general_email,General enquiries,adamstown@pulseclimbing.com.au,Yes,Yes,https://pulseclimbing.com.au/locations/adamstown/,verified,Official site lists the venue email.
contact_pulse_gos_phone,host_pulse_gosford,loc_pulse_gosford,phone,Front desk,02 4339 2487,Yes,Yes,https://pulseclimbing.com.au/locations/gosford/,verified,Official site lists the venue phone.
contact_pulse_gos_email,host_pulse_gosford,loc_pulse_gosford,general_email,General enquiries,gosford@pulseclimbing.com.au,Yes,Yes,https://pulseclimbing.com.au/locations/gosford/,verified,Official site lists the venue email.
contact_pulse_warn_phone,host_pulse_warners_bay,loc_pulse_warners,phone,Front desk,02 4023 8498,Yes,Yes,https://pulseclimbing.com.au/locations/warners-bay/,verified,Official site lists the venue phone.
contact_pulse_warn_email,host_pulse_warners_bay,loc_pulse_warners,general_email,General enquiries,warnersbay@pulseclimbing.com.au,Yes,Yes,https://pulseclimbing.com.au/locations/warners-bay/,verified,Official site lists the venue email.
contact_pulse_mai_phone,host_pulse_maitland,loc_pulse_maitland,phone,Front desk,02 4030 8320,Yes,Yes,https://pulseclimbing.com.au/contact/,verified,Official site lists the venue phone.
contact_pulse_mai_email,host_pulse_maitland,loc_pulse_maitland,general_email,General enquiries,maitland@pulseclimbing.com.au,Yes,Yes,https://pulseclimbing.com.au/contact/,verified,Official site lists the venue email.
contact_northside_general_email,host_northside_boulders_brunswick,,general_email,General enquiries,info@northsideboulders.com,No,Yes,https://northsideboulders.com/,verified,Official site lists a shared operator email for exceptions and enquiries.
contact_blochaus_mkv_phone,host_blochaus_sydney_marrickville,loc_blochaus_marrickville,phone,Front desk,02 7228 9304,Yes,Yes,https://syd.blochaus.com.au/about/,verified,Official site lists the venue phone.
contact_blochaus_lct_phone,host_blochaus_sydney_leichhardt,loc_blochaus_leichhardt,phone,Front desk,02 8201 3184,Yes,Yes,https://syd.blochaus.com.au/about/,verified,Official site lists the venue phone.
contact_blochaus_syd_form,host_blochaus_sydney_marrickville,,contact_form,General enquiry form,https://syd.blochaus.com.au/about/,Yes,Yes,https://syd.blochaus.com.au/about/,verified,Official site exposes public contact via form.
contact_blochaus_mlb_phone,host_blochaus_melbourne_port,loc_blochaus_port,phone,Front desk,03 7056 6984,Yes,Yes,https://mlb.blochaus.com.au/,verified,Official site lists the venue phone.
contact_blochaus_mlb_form,host_blochaus_melbourne_port,,contact_form,General enquiry form,https://mlb.blochaus.com.au/about/,Yes,Yes,https://mlb.blochaus.com.au/about/,verified,Official site exposes public contact via form.
contact_blochaus_fys_phone,host_blochaus_canberra_fyshwick,loc_blochaus_fyshwick,phone,Front desk,02 6280 8830,Yes,Yes,https://cbr.blochaus.com.au/about/,verified,Official site lists the venue phone.
contact_blochaus_mcl_phone,host_blochaus_canberra_mitchell,loc_blochaus_mitchell,phone,Front desk,02 5117 4548,Yes,Yes,https://cbr.blochaus.com.au/about/,verified,Official site lists the venue phone.
contact_blochaus_cbr_form,host_blochaus_canberra_fyshwick,,contact_form,General enquiry form,https://cbr.blochaus.com.au/about/,Yes,Yes,https://cbr.blochaus.com.au/about/,verified,Official site exposes public contact via form.
contact_portside_oc_phone,host_portside_oconnor,loc_portside_oconnor,phone,Front desk,0421 244 870,Yes,Yes,https://portsideboulders.com.au/contact/,verified,Official site lists the venue phone.
contact_portside_os_phone,host_portside_osborne_park,loc_portside_osborne,phone,Front desk,0432 745 567,Yes,Yes,https://portsideboulders.com.au/contact/,verified,Official site lists the venue phone.
contact_portside_wi_phone,host_portside_willetton,loc_portside_willetton,phone,Front desk,0405 883 079,Yes,Yes,https://portsideboulders.com.au/contact/,verified,Official site lists the venue phone.
contact_portside_jo_phone,host_portside_joondalup,loc_portside_joondalup,phone,Front desk,0481 870 984,Yes,Yes,https://portsideboulders.com.au/contact/,verified,Official site lists the venue phone.
contact_portside_youth_email,host_portside_oconnor,,events_email,Youth enquiries,youth@portsideboulders.com.au,No,Yes,https://portsideboulders.com.au/contact/,verified,Official site lists a youth enquiries inbox that is useful for event and program outreach.
contact_portside_media_email,host_portside_oconnor,,partnerships_email,Media enquiries,media@portsideboulders.com.au,No,Yes,https://portsideboulders.com.au/contact/,verified,Official site lists a media enquiries inbox for partnership or press-style contact.
contact_portside_form,host_portside_oconnor,,contact_form,General enquiry form,https://portsideboulders.com.au/contact/,Yes,Yes,https://portsideboulders.com.au/contact/,verified,Official site exposes a general enquiry form for choosing a specific gym.
contact_av_bel_phone,host_adrenaline_vault_belmont,loc_av_belmont,phone,Front desk,08 6107 8359,Yes,Yes,https://adrenalinevault.com.au/contact-us/,verified,Official site lists the venue phone.
contact_av_cock_phone,host_adrenaline_vault_cockburn,loc_av_cockburn,phone,Front desk,08 6490 6497,Yes,Yes,https://adrenalinevault.com.au/contact-us/,verified,Official site lists the venue phone.
contact_av_general_email,host_adrenaline_vault_belmont,,general_email,General enquiries,enquiries@adrenalinevault.com.au,No,Yes,https://adrenalinevault.com.au/contact-us/,verified,Official site lists a shared enquiries inbox across the operator.
contact_av_form,host_adrenaline_vault_belmont,,contact_form,General enquiry form,https://adrenalinevault.com.au/contact-us/,Yes,Yes,https://adrenalinevault.com.au/contact-us/,verified,Official site exposes a public contact form.
contact_sicg_stp_phone,host_sicg_st_peters,loc_sicg_stpeters,phone,Front desk,02 9519 3325,Yes,Yes,https://indoorclimbing.com.au/stpeters/contact-us/,verified,Official site lists the venue phone.
contact_sicg_stp_email,host_sicg_st_peters,loc_sicg_stpeters,general_email,General enquiries,info@indoorclimbing.com.au,Yes,Yes,https://indoorclimbing.com.au/stpeters/contact-us/,verified,Official site lists the venue email.
contact_elevate_phone,host_elevate_villawood,loc_elevate_villawood,phone,Front desk,02 9728 2825,Yes,Yes,https://www.elevateclimbing.com.au/contact,verified,Official site lists the venue phone.
contact_elevate_email,host_elevate_villawood,loc_elevate_villawood,general_email,General enquiries,villawood@elevateclimbing.com.au,Yes,Yes,https://www.elevateclimbing.com.au/contact,verified,Official site lists the venue email.
contact_elevate_form,host_elevate_villawood,loc_elevate_villawood,contact_form,General enquiry form,https://www.elevateclimbing.com.au/contact,No,Yes,https://www.elevateclimbing.com.au/contact,verified,Official site exposes a public contact form.
