update_channel_id,host_id,channel_type,channel_value,url,purpose,update_frequency_guess,access_method,priority,status,notes
upd_gecko_site,host_gecko_climb,website_events,Gecko official site,https://geckoclimb.com.au/,venue updates and community events,high,public web,A,verified,Official site presents the venue as a community hub with event-capable spaces and current operating details.
upd_gecko_tourism,host_gecko_climb,website_events,Northern Territory tourism listing,https://northernterritory.com/cn/zh/darwin-and-surrounds/see-and-do/gecko-climb,opening announcements and tourism-facing updates,medium,public web,B,verified,Useful secondary source because it captured the venue launch and summarises operating information.
upd_vrc_site,host_vertical_reality_climbing,website_events,Vertical Reality official site,https://www.verticalrealityclimbing.com/,bookings and operating updates,medium,public web,B,verified,Official site carries booking guidance and current operating details.
upd_mandurah_site,host_mandurah_irc,website_events,Mandurah official site,https://www.mandurahrockclimbing.com/,class and program updates,medium,public web,B,verified,Official site carries class pages service pages and recurring program information.
upd_mandurah_adult_climb,host_mandurah_irc,website_events,Mandurah adult climb page,https://www.mandurahrockclimbing.com/adult-climb,adult social climbs and beginner course updates,medium,public web,B,verified,Useful sub-page for repeat adult-program monitoring.
upd_mandurah_event_form,host_mandurah_irc,website_events,Mandurah event registration page,https://www.mandurahrockclimbing.com/boulder-jam-registration-form,competition and boulder bash registrations,medium,public web,B,verified,Direct evidence that the venue runs at least some formal competition-style events and registrations.
upd_hangdog_events,host_hangdog,website_events,Hangdog events page,https://hangdog.com.au/events,event announcements and community nights,high,public web,A,verified,Official site has a dedicated events section with community nights and seasonal programming.
upd_hangdog_site,host_hangdog,website_events,Hangdog official site,https://hangdog.com.au/,hours and general venue updates,high,public web,A,verified,Official site is active and clearly used for current venue communication.
upd_core_classes,host_core_climbing,website_events,Core courses and classes,https://www.coreclimbing.com.au/courses-classes/,classes and recurring program updates,medium,public web,B,verified,Best official page for ongoing program monitoring.
upd_core_whats_happening,host_core_climbing,website_events,Core Whats Happening link,https://www.coreclimbing.com.au/,community updates and promo activity,medium,public web,B,needs_review,The site navigation suggests an active updates path but the exact destination should be confirmed in a later pass.
upd_cutloose_site,host_cutloose,website_events,Cutloose official site,https://cutlooseindoorclimbing.com.au/,member comps and gym updates,high,public web,A,verified,Official site explicitly mentions members-only social comps and current operating details.
upd_cutloose_instagram,host_cutloose,instagram,cutlooseindoorclimbing,https://www.instagram.com/cutlooseindoorclimbing/,gym updates guest setters and promo posts,high,psf_climb login,A,verified,Official site explicitly points users to the Instagram account.
upd_climb_brisbane_adults,host_climb_brisbane,website_events,Climb Brisbane adult squad page,https://climb-australia.com.au/brisbane-adults-squad/,adult program updates and community growth paths,medium,public web,B,verified,Useful official page for recurring adult-program monitoring.
upd_climb_brisbane_school_groups,host_climb_brisbane,website_events,Climb Brisbane school groups page,https://climb-australia.com.au/brisbane-school-groups-bookings/,group bookings and youth program signal,medium,public web,B,verified,Useful official page for recurring school and youth activity.
upd_climb_toowoomba_sensory,host_climb_toowoomba,website_events,Climb Toowoomba sensory sessions,https://climb-australia.com.au/toowoomba-sensory-sessions/,special sessions and inclusive program updates,medium,public web,B,verified,Strong sign the venue uses official site pages for program announcements.
upd_climb_toowoomba_updates,host_climb_toowoomba,website_news,Climb Toowoomba update posts,https://climb-australia.com.au/climb-toowoomba-update-11-04-2024/,opening progress and venue news,medium,public web,B,verified,Useful path for venue updates and launch-era communications.
upd_9d_locations,host_9_degrees_alexandria,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,high,public web,A,verified,Official page lists every venue with reset days and current contact information.
upd_9d_brisbane_events,host_9_degrees_enoggera,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,Brisbane comps and community events,high,public web,A,verified,Direct official event path for the Brisbane venues.
upd_bb_about,host_beyond_bouldering_thebarton,website_events,Beyond official site,https://beyondbouldering.com.au/about/,operator news and event recaps,high,public web,A,verified,Official site includes reset schedules plus blog-style updates and comp recap content.
upd_bb_resets,host_beyond_bouldering_kent_town,website_events,Beyond climbing reset schedule,https://beyondbouldering.com.au/about/,reset schedule and venue activity,medium,public web,B,verified,Good recurring signal for venue activity and cadence.
upd_bl_contact,host_boulder_lab_brunswick,website_events,Boulder Lab contact page,https://boulderlab.com.au/contact,venue updates and location details,medium,public web,B,verified,Best official venue reference page across the Boulder Lab network.
upd_bl_home,host_boulder_lab_brunswick,website_events,Boulder Lab official site,https://boulderlab.com.au/,news photos and facility updates,medium,public web,B,verified,Official site surfaces photos and network-wide updates relevant to events and community activity.
upd_9d_waterloo,host_9_degrees_waterloo,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,high,public web,A,verified,Official page lists venue-specific reset days and current contact information.
upd_9d_lanecove,host_9_degrees_lane_cove,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,medium,public web,B,verified,Official page lists venue-specific reset days and current contact information.
upd_9d_chatswood,host_9_degrees_chatswood,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,medium,public web,B,verified,Official page lists venue-specific reset days and current contact information.
upd_9d_parra,host_9_degrees_parramatta,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,medium,public web,B,verified,Official page lists venue-specific reset days and current contact information.
upd_9d_morningside,host_9_degrees_morningside,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,Brisbane comps and community events,high,public web,A,verified,Shared Brisbane events page is the best official event path for the Morningside venue.
upd_bb_kent,host_beyond_bouldering_kent_town,website_events,Beyond Kent Town venue page,https://beyondbouldering.com.au/about/kenttown/,venue updates and reset cadence,high,public web,A,verified,Official venue page includes reset cadence and local operating details.
upd_bb_keswick,host_beyond_bouldering_keswick,website_events,Beyond Keswick venue page,https://beyondbouldering.com.au/about/keswick/,venue updates and reset cadence,medium,public web,B,verified,Official venue page includes reset cadence and local operating details.
upd_bl_clayton,host_boulder_lab_clayton_south,website_events,Boulder Lab contact page,https://boulderlab.com.au/contact,venue updates and location details,medium,public web,B,verified,Official network contact page is the best current source for Clayton South details.
upd_bl_ferntree,host_boulder_lab_ferntree_gully,website_events,Boulder Lab contact page,https://boulderlab.com.au/contact,venue updates and location details,medium,public web,B,verified,Official network contact page is the best current source for Ferntree Gully details.
upd_nomad_ann,host_nomad_annandale,website_events,NOMAD Annandale events page,https://www.nomadbouldering.com.au/locations/annandale,event announcements and community sessions,high,public web,A,verified,Official venue page explicitly surfaces events plus clinics youth comps and community nights.
upd_nomad_gla,host_nomad_gladesville,website_events,NOMAD Gladesville venue page,https://www.nomadbouldering.com.au/locations/gladesville,venue updates and reset cadence,high,public web,B,verified,Official venue page lists reset day plus facilities and current operating details.
upd_cf_locations,host_climb_fit_st_leonards,website_events,Climb Fit locations page,https://www.climbfit.com.au/location/,locations and venue updates,medium,public web,B,verified,Official locations page is the clearest shared source for venue monitoring.
upd_cf_contact,host_climb_fit_st_leonards,website_events,Climb Fit contact page,https://www.climbfit.com.au/location/contact/,contact paths and booking enquiries,medium,public web,B,verified,Useful shared path for bookings birthdays and general enquiries.
upd_cf_kirrawee,host_climb_fit_kirrawee,website_events,Climb Fit Kirrawee venue page,https://www.climbfit.com.au/location/climbfit-kirrawee/,classes and weekly resets,high,public web,B,verified,Official venue page highlights weekly route refreshes and coaching/activity options.
upd_cf_macquarie,host_climb_fit_macquarie,website_events,Climb Fit Macquarie Park venue page,https://www.climbfit.com.au/location/climb-fit-macquarie/,classes and venue updates,medium,public web,B,verified,Official venue page is the best venue-specific monitoring source.
upd_pulse_adam,host_pulse_adamstown,website_events,Pulse Adamstown venue page,https://pulseclimbing.com.au/locations/adamstown/,courses training and social nights,high,public web,B,verified,Official venue page points directly to youth clinics parties courses training and social nights.
upd_pulse_gos,host_pulse_gosford,website_events,Pulse Gosford venue page,https://pulseclimbing.com.au/locations/gosford/,courses training and social nights,high,public web,B,verified,Official venue page points directly to youth clinics groups courses training and social nights.
upd_pulse_warn,host_pulse_warners_bay,website_events,Pulse Warners Bay venue page,https://pulseclimbing.com.au/locations/warners-bay/,monthly courses and bookings,high,public web,B,verified,Official venue page highlights monthly courses and booking paths.
upd_pulse_mai,host_pulse_maitland,website_events,Pulse contact and venue network page,https://pulseclimbing.com.au/contact/,venue contact and marketing updates,medium,public web,B,verified,Shared official contact page is currently the best easy-access path for the Maitland venue details.
upd_northside_home,host_northside_boulders_brunswick,website_events,Northside official site,https://northsideboulders.com/,calendar and venue updates,high,public web,A,verified,Official site includes a Northside calendar plus venue addresses and reset cadence.
upd_northside_brunswick,host_northside_boulders_brunswick,website_events,Northside locations section,https://northsideboulders.com/,Brunswick reset cadence and operating details,medium,public web,B,verified,Official site lists the Brunswick venue details and reset days.
upd_northside_northcote,host_northside_boulders_northcote,website_events,Northside locations section,https://northsideboulders.com/,Northcote reset cadence and operating details,medium,public web,B,verified,Official site lists the Northcote venue details and reset days.
upd_lactic_abbotsford,host_lactic_factory_abbotsford,website_events,Northside locations section,https://northsideboulders.com/,Abbotsford reset cadence and operating details,medium,public web,B,verified,Official site lists the Abbotsford venue details and reset days.
upd_blochaus_syd,host_blochaus_sydney_marrickville,website_events,BlocHaus Sydney about page,https://syd.blochaus.com.au/about/,social events and reset cadence,high,public web,B,verified,Official site describes social events plus reset cadence and venue operations.
upd_blochaus_mlb,host_blochaus_melbourne_port,website_events,BlocHaus Melbourne about page,https://mlb.blochaus.com.au/about/,classes coaching and reset cadence,medium,public web,B,verified,Official site gives venue operations and class pathways for Port Melbourne.
upd_blochaus_cbr,host_blochaus_canberra_fyshwick,website_events,BlocHaus Canberra about page,https://cbr.blochaus.com.au/about/,classes coaching and social updates,medium,public web,B,verified,Official site gives venue operations and asks users to watch socials for whats new.
upd_portside_oc,host_portside_oconnor,website_events,Portside OConnor venue page,https://portsideboulders.com.au/locations/oconnor/,reset cadence and special hours,high,public web,B,verified,Official venue page lists reset cadence and says disruptions are announced on Instagram and via email.
upd_portside_os,host_portside_osborne_park,website_events,Portside Osborne Park venue page,https://portsideboulders.com.au/locations/osborne-park/,West Coast Blocs and class timetable,high,public web,A,verified,Official venue page directly references West Coast Blocs and carries a live timetable.
upd_portside_wi,host_portside_willetton,website_events,Portside Willetton venue page,https://portsideboulders.com.au/locations/willetton/,reset cadence and class timetable,medium,public web,B,verified,Official venue page carries live timetable and reset cadence.
upd_portside_jo,host_portside_joondalup,website_events,Portside Joondalup venue page,https://portsideboulders.com.au/locations/joondalup/,reset cadence and venue updates,medium,public web,B,verified,Official venue page carries reset cadence and venue-specific updates.
upd_portside_contact,host_portside_oconnor,website_events,Portside contact page,https://portsideboulders.com.au/contact/,forms for venue hire group bookings and youth enquiries,high,public web,A,verified,Official contact page is a strong monitoring and outreach hub for programs and partnerships.
upd_av_bel,host_adrenaline_vault_belmont,website_events,Adrenaline Vault Belmont page,https://adrenalinevault.com.au/locations/belmont/,group bookings and venue updates,medium,public web,B,verified,Official venue page includes group booking paths and current operating details.
upd_av_cock,host_adrenaline_vault_cockburn,website_events,Adrenaline Vault Cockburn page,https://adrenalinevault.com.au/locations/cockburn/,group bookings and venue updates,medium,public web,B,verified,Official venue page includes group booking paths and current operating details.
upd_av_contact,host_adrenaline_vault_belmont,website_events,Adrenaline Vault contact page,https://adrenalinevault.com.au/contact-us/,mailing list and contact updates,medium,public web,B,verified,Official contact page includes mailing list signup plus the shared enquiries inbox.
upd_sicg_stp,host_sicg_st_peters,website_events,SICG St Peters site,https://indoorclimbing.com.au/stpeters/,venue updates and climbing community info,high,public web,A,verified,Official site is active and includes contact details venue info and facility updates.
upd_elevate_home,host_elevate_villawood,website_events,Elevate official site,https://www.elevateclimbing.com.au/,community nights and registration posts,high,public web,A,verified,Official site surfaces current community-night promos and competition registrations on the homepage.
upd_elevate_about,host_elevate_villawood,website_events,Elevate about page,https://www.elevateclimbing.com.au/about/,workshops social nights and founder context,high,public web,A,verified,Official about page explicitly mentions competitions workshops and social nights as part of the gym program.
