priority_rank,normalized_name,lane,newsletter_fit_score,scene_signal_score,contact_path_type,best_au_contact_path,contact_email,priority_tier,why_now,next_action
23,Happy Biner,specialist_retailer,4,4,direct_retailer,Direct retailer contact,,B,Repeated comp support and highly relevant climbing-native retail positioning,Find contact and pitch prizes plus targeted placements
24,K2 Base Camp,specialist_retailer,4,3,direct_retailer,Direct retailer contact,info@k2.com.au,B,Strong climbing retail positioning and visible resole-service integration,Pitch retailer-offer package and Brisbane scene reach
25,The Climbing Shop,specialist_retailer,4,3,direct_retailer,Direct retailer contact,,B,High-signal specialist stockist with strong brand pages,Find owner or contact and pitch retailer-facing package
26,Pinnacle Sports,specialist_retailer,4,3,direct_retailer,Direct retailer contact,online@pinnaclesports.com.au,B,Specialist climbing retailer with service and training extensions,Pitch retail plus education-program sponsorship concept
27,Friction Addiction,distributor_intro_path,3,4,distributor,Direct distributor contact,sales@frictionaddiction.com.au,B,High-value intro path into Unparallel Reset and related climbing categories,Map top distributed brands and use as an access route rather than a first-wave lead
28,ALS Trade,distributor_intro_path,3,3,distributor,Direct distributor contact,info@alstrade.com.au,B,Distributor route into Ocun and Singing Rock,Use as an access route for category-native brands
29,Spelean,distributor_intro_path,3,3,distributor,Direct distributor contact,sales@spelean.com.au,B,Australian route for Petzl with clear contact path,Assess whether climbing-sport side is worth pursuing via distributor route
30,Southern Cross Equipment,distributor_intro_path,3,3,distributor,Direct distributor contact,sales@southerncross.net.au,B,Distributor route into DMM and Edelrid,Use as a contact path for hardware brands rather than a direct first-wave priority
31,Scotty Dog Resoles,service_provider,4,3,direct_service,Direct service contact,scott@scottydog.com.au,B,Longstanding trusted repair brand with direct relevance,Pitch evergreen service sponsorship
32,Rubber Styx,service_provider,4,2,direct_service,Direct service contact,,B,Local Brisbane-focused resoler with strong community fit,Find direct email and pitch local Queensland package
33,Sticky Joe's Resoles,service_provider,4,2,direct_service,Direct service contact,,B,Authorised La Sportiva resoler and clear climbing-only focus,Find direct email and pitch repair-content partnership
34,Mammut,consumer_brand,4,3,distributor,This Way Out,,B,Strong media advertiser signal and credible technical-climbing adjacency,Use This Way Out as the working ANZ route and validate the best commercial contact
35,Getya,consumables_brand,3,2,retail_route,Wild Earth,,C,Relevant chalk category with Australian retail visibility but softer commercial signal than premium chalk brands,Keep as a lower-priority chalk prospect
