sponsor_entity_id,normalized_name,classification_bucket,primary_audience_path,first_wave_sponsor_fit,include_in_market_map,notes
sponsor_southern_cross_equipment,Southern Cross Equipment,retail_distributor_infrastructure,retailer_and_gym_buyer,low,yes,Important DMM and Edelrid route but primarily infrastructure.
sponsor_wild_earth,Wild Earth,retail_distributor_infrastructure,mixed_climber_and_retail,medium,yes,Broad outdoor retailer with enough climbing presence to matter.
sponsor_mountain_equipment,Mountain Equipment,retail_distributor_infrastructure,mixed_climber_and_retail,medium,yes,Technical climbing retailer with strong credibility and stock connections.
sponsor_the_climbing_shop,The Climbing Shop,retail_distributor_infrastructure,climber,medium,yes,Specialist stockist and useful gear-discovery node.
sponsor_pinnacle_sports,Pinnacle Sports,retail_distributor_infrastructure,climber,medium,yes,Specialist retailer with strong climbing relevance and possible direct sponsor value.
sponsor_sherpa,Sherpa,retail_distributor_infrastructure,broader_outdoor_consumer,low,yes,Useful stockist node but weaker direct fit than climbing-specialist retailers.
sponsor_wall_toys,Wall Toys,retail_distributor_infrastructure,climber,medium,yes,Specialist retailer with visible footwear and training categories.
sponsor_bogong_equipment,Bogong Equipment,retail_distributor_infrastructure,broader_outdoor_consumer,low,yes,Good stockist and service-partner node but not a first-wave priority.
sponsor_summit_gear,Summit Gear,retail_distributor_infrastructure,broader_outdoor_consumer,low,yes,Useful retailer plus service-dropoff crossover node.
sponsor_sticky_rubber_resoles,Sticky Rubber Resoles,community_service_high_fit,climber,high,yes,One of the strongest recurring-use service sponsor categories in the map.
sponsor_scotty_dog_resoles,Scotty Dog Resoles,community_service_high_fit,climber,high,yes,Highly relevant service brand with direct climbing utility.
sponsor_rubber_styx,Rubber Styx,community_service_high_fit,climber,high,yes,Strong Queensland scene-fit service category.
sponsor_sticky_joes_resoles,Sticky Joe's Resoles,community_service_high_fit,climber,high,yes,Authorised resoler with strong content and service relevance.
sponsor_climbing_resoles,Climbing Resoles,community_service_high_fit,climber,high,yes,Nationally relevant repair service with partner network.
sponsor_ocun,Ocun,consumer_facing_high_fit,climber,medium,yes,Climbing-native brand with clear AU infrastructure and strong category fit.
sponsor_unparallel,Unparallel,consumer_facing_high_fit,climber,medium,yes,High-fit performance shoe brand with local route via distributor.
sponsor_petzl,Petzl,consumer_facing_high_fit,climber,medium,yes,Premium brand with scene credibility though part of a broader technical market.
sponsor_dmm,DMM,consumer_facing_high_fit,climber,medium,yes,Strong hardware brand with climber relevance but less obvious consumer activation history so far.
sponsor_edelrid,Edelrid,consumer_facing_high_fit,climber,medium,yes,High-fit rope and hardware brand with clear technical audience relevance.
sponsor_evolv,Evolv,consumer_facing_high_fit,climber,medium,yes,Performance shoe brand with strong editorial and demo potential.
sponsor_tenaya,Tenaya,consumer_facing_high_fit,climber,medium,yes,Strong performance shoe brand with likely newsletter relevance.
sponsor_beastmaker,Beastmaker,consumer_facing_high_fit,climber,medium,yes,Training gear brand fits indoor-performance content well.
sponsor_crux_gear,Crux Gear,consumer_facing_high_fit,climber,medium,yes,Australian training brand with clear product-content fit.
sponsor_climbskin,Climbskin,consumer_facing_high_fit,climber,medium,yes,Skin-care category maps naturally to recurring climber needs.
sponsor_butora,Butora,consumer_facing_high_fit,climber,medium,yes,Shoe brand with clear retailer pathway and direct climber relevance.
sponsor_beal,Beal,consumer_facing_high_fit,climber,medium,yes,Rope and hardware brand with clear local availability and category fit.
sponsor_tendon,Tendon,consumer_facing_high_fit,climber,medium,yes,Rope brand with scene relevance though less likely than shoes or services to sponsor early.
sponsor_wide_boyz,Wide Boyz,consumer_facing_high_fit,climber,low,yes,Relevant training brand but weaker local commercial evidence so far.
sponsor_redpoint_climbing,Redpoint Climbing,consumer_facing_high_fit,climber,medium,yes,Australian climbing brand with direct consumer and stockist relevance.
sponsor_mammut,Mammut,consumer_facing_high_fit,climber,medium,yes,Strong media advertiser signal and credible technical-climbing adjacency.
sponsor_patagonia,Patagonia,consumer_facing_high_fit,broader_outdoor_consumer,low,yes,Powerful brand but broader and less likely than climbing-native prospects for early outreach.
sponsor_the_north_face,The North Face,consumer_facing_high_fit,broader_outdoor_consumer,low,yes,Strong brand presence but broader and less evidenced in climbing sponsorship here.
