review_rank,candidate_id,host_name,candidate_title,validation_bucket,overall_validation_score,duplicate_group_id,duplicate_group_size,suggested_review_status,source_url,date_clues,location_clues,event_type_clues,raw_text_excerpt,validation_reasons,existing_review_decision,review_instruction
11,cand_4ae62b4c6e7c52e9,9 Degrees Alexandria,Parramatta,needs_human_review,72,dup_87b339e57c54,1,needs_review,https://www.9degrees.com.au/locations,4pm; 10pm; 6am; 10am; 8am,46 South St; NSW,comp,"Best accessed via the driveway on Smith St . Within the complex, take the first right and then first left (look out for the signs). You’ll find us at the end, next to our friends at Anytime Fitness. | Parking is easiest on the lower level with 60+ free parking spots on site. Please do not park in spots allocated to our neighbours. Best public transport access via the 281 and 283 from the Chatswood Interchange. | Parramatta | Monday 4pm - 10pm Tuesday 6am - 10pm Wednesday 10am - 10pm Thursday 10am - 10pm Friday 6am - 10pm Weekends 8am - 10pm | New climbs every Monday | Phone : 0491 970 173 Email : parramatta@9degrees.com.au Address : Unit 11, 38-46 South St Rydalmere, NSW, 2116",has core fields; strong source evidence,,Review only after strong candidates and duplicate groups.
12,cand_bc36fefd09205d5f,9 Degrees Enoggera,Competition Schedule,needs_human_review,70,dup_2e3c77dabcd9,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; Thursday 04 Sep; Sunday 14 Sep; Wednesday 17 September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. Your top 10 climbs can count from either or both of these gyms, and can be found under the same competition tab in TopLogger. | Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule | Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish. | Semi Finals: Wednesday 17 September",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
13,cand_892c7a98cc5fe425,9 Degrees Morningside,Competition Schedule,needs_human_review,70,dup_d05c47b2ed24,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; Thursday 04 Sep; Sunday 14 Sep; Wednesday 17 September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. Your top 10 climbs can count from either or both of these gyms, and can be found under the same competition tab in TopLogger. | Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule | Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish. | Semi Finals: Wednesday 17 September",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
14,cand_c55af076c99fa9f9,9 Degrees Enoggera,Semi Finals: Wednesday 17 September,needs_human_review,68,dup_990231db8c3e,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Thursday 04 Sep; Sunday 14 Sep; Wednesday 17 September; Saturday 20 September; Saturday 20th September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish. | Semi Finals: Wednesday 17 September | Once qualifiers have concluded, the top 18 male and female qualifiers from the A’s and B’s categories will become our semi-finalists. There will be no semi-finals for the C's categories, the top 6 male and female competitors in this category will go straight to the finals. The semi-finalists for the Masters and Inclusive categories will be determined closer to the the date, and will depend on how many participants enter each of these categories during the qualifying stage. There will be no finals for the D’s category, but winners will be announced and prizes awarded for the top 3 after qualifiers! | Finals: Saturday 20 September | Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night.",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
15,cand_6f5bd2330d92f87c,9 Degrees Enoggera,Finals: Saturday 20 September,needs_human_review,68,dup_c08665669d97,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Wednesday 17 September; Saturday 20 September; Saturday 20th September,,comp; finals; qualifier; qualifiers,"Semi Finals: Wednesday 17 September | Once qualifiers have concluded, the top 18 male and female qualifiers from the A’s and B’s categories will become our semi-finalists. There will be no semi-finals for the C's categories, the top 6 male and female competitors in this category will go straight to the finals. The semi-finalists for the Masters and Inclusive categories will be determined closer to the the date, and will depend on how many participants enter each of these categories during the qualifying stage. There will be no finals for the D’s category, but winners will be announced and prizes awarded for the top 3 after qualifiers! | Finals: Saturday 20 September | Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night. | Entry is free for all participants! | Competitor Categories",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
16,cand_42c6fdf793758646,9 Degrees Morningside,Semi Finals: Wednesday 17 September,needs_human_review,68,dup_380b59d98a4f,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Thursday 04 Sep; Sunday 14 Sep; Wednesday 17 September; Saturday 20 September; Saturday 20th September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish. | Semi Finals: Wednesday 17 September | Once qualifiers have concluded, the top 18 male and female qualifiers from the A’s and B’s categories will become our semi-finalists. There will be no semi-finals for the C's categories, the top 6 male and female competitors in this category will go straight to the finals. The semi-finalists for the Masters and Inclusive categories will be determined closer to the the date, and will depend on how many participants enter each of these categories during the qualifying stage. There will be no finals for the D’s category, but winners will be announced and prizes awarded for the top 3 after qualifiers! | Finals: Saturday 20 September | Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night.",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
17,cand_5a8f687db6178138,9 Degrees Morningside,Finals: Saturday 20 September,needs_human_review,68,dup_d8a9cc7d5882,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Wednesday 17 September; Saturday 20 September; Saturday 20th September,,comp; finals; qualifier; qualifiers,"Semi Finals: Wednesday 17 September | Once qualifiers have concluded, the top 18 male and female qualifiers from the A’s and B’s categories will become our semi-finalists. There will be no semi-finals for the C's categories, the top 6 male and female competitors in this category will go straight to the finals. The semi-finalists for the Masters and Inclusive categories will be determined closer to the the date, and will depend on how many participants enter each of these categories during the qualifying stage. There will be no finals for the D’s category, but winners will be announced and prizes awarded for the top 3 after qualifiers! | Finals: Saturday 20 September | Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night. | Entry is free for all participants! | Competitor Categories",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
18,cand_1d089bf6cbac4842,9 Degrees Enoggera,Competitor Categories,needs_human_review,61,dup_cd72577bea34,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Saturday 20 September; Saturday 20th September,,competition; comp; finals,"Finals: Saturday 20 September | Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night. | Entry is free for all participants! | Competitor Categories | This year, there will be 6 different categories, which means anyone can enter, no matter your climbing ability! Entry into the competition is totally free, whether you're a member or not. | A'S, B'S & C'S - MALE & FEMALE",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
19,cand_eeafc5a9998ccb66,9 Degrees Enoggera,Competitor Categories,needs_human_review,61,dup_6ad3790177c2,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Saturday 20th September,,competition; comp; finals; qualifier; qualifiers,"Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night. | Entry is free for all participants! | Competitor Categories | This year, there will be 6 different categories, which means anyone can enter, no matter your climbing ability! Entry into the competition is totally free, whether you're a member or not. | A'S, B'S & C'S - MALE & FEMALE | Open to anyone climbing above a V2 level in the gym. During qualifiers, scores will be logged for A’s, B’s & C's together, but competitors will be ranked individually according to their category.",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
20,cand_63fd69a3c8c69df5,9 Degrees Morningside,Competitor Categories,needs_human_review,61,dup_73bc0b70c5ce,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Saturday 20 September; Saturday 20th September,,competition; comp; finals,"Finals: Saturday 20 September | Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night. | Entry is free for all participants! | Competitor Categories | This year, there will be 6 different categories, which means anyone can enter, no matter your climbing ability! Entry into the competition is totally free, whether you're a member or not. | A'S, B'S & C'S - MALE & FEMALE",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
21,cand_2e80cf38e4c0d4e0,9 Degrees Morningside,Competitor Categories,needs_human_review,61,dup_237984edbfc5,1,needs_review,https://www.9degrees.com.au/brisbaneevents,Saturday 20th September,,competition; comp; finals; qualifier; qualifiers,"Of the 18 semi-finalists in each category, up to 6 will make it through to compete in the finals. This will take place on Saturday 20th September, and will be an epic night of climbing, food, drinks, games and entertainment! Our All Star category will also be returning, which sees a select group of elite climbers competing for glory at the end of the night. | Entry is free for all participants! | Competitor Categories | This year, there will be 6 different categories, which means anyone can enter, no matter your climbing ability! Entry into the competition is totally free, whether you're a member or not. | A'S, B'S & C'S - MALE & FEMALE | Open to anyone climbing above a V2 level in the gym. During qualifiers, scores will be logged for A’s, B’s & C's together, but competitors will be ranked individually according to their category.",has core fields; strong source evidence; missing location clue,,Review only after strong candidates and duplicate groups.
