ask_type,priority_rank,normalized_name,why_this_fit,best_au_contact_path,contact_email,angle_overlap_strength,foundation_signal
psf_merch_or_package_support,5,The Climbing Shop,Specialist retailer with good product-access value even if long-term paid upside is lower,Direct retailer contact,,medium,low
psf_merch_or_package_support,6,Pinnacle Sports,Useful retailer partner for product support and possible Brisbane-youth linkage,Direct retailer contact,online@pinnaclesports.com.au,medium,low
psf_merch_or_package_support,7,Friction Addiction,Distributor can unlock multiple product lines for mixed support packs,Direct distributor contact,sales@frictionaddiction.com.au,high,medium
psf_merch_or_package_support,8,Mammut,Premium adjacent brand more useful here as apparel-or-package halo than early consumable support,Australia and New Zealand distributor,,medium,medium
long_term_paid_sponsor,1,La Sportiva Australia,Strongest combination of activation proof category fit and national relevance,Australian distributor,sales@intertrek.com.au,high,high
long_term_paid_sponsor,2,Scarpa Australia,Very strong category fit and youth-athlete credibility with clear long-term upside,Official global brand contact form,,high,high
long_term_paid_sponsor,3,Black Diamond,Premium category leader with repeat scene signal and strong media familiarity,Exclusive Australian distributor,info@blackdiamondequipment.com.au,high,high
long_term_paid_sponsor,4,Lattice Training,Excellent fit for an ambitious indoor-performance audience and likely strong brand-intellectual alignment,Direct brand contact,contact@latticetraining.com,high,high
long_term_paid_sponsor,5,Rhino Skin Solutions,Direct sponsorship contact and highly relevant recurring-use brand for climbers,Direct marketing and sponsorship contact,Justin@rhinoskinsolutions.com,high,high
long_term_paid_sponsor,6,Climbing Anchors,Specialist retailer with scene credibility and strong commercial relevance,Direct retailer or wholesale contact,sales@climbinganchors.com,high,high
long_term_paid_sponsor,7,Paddy Pallin,Adjacent but proven scene spender with stronger commercial scale than most local partners,Direct retailer contact,,high,high
long_term_paid_sponsor,8,Friction Labs,Premium category brand with clear specialist-retail validation and good media fit,Official contact form,,high,medium
long_term_paid_sponsor,9,Chalk Cartel,Category-native chalk brand with community and event-support language,Official brand contact form,,high,medium
long_term_paid_sponsor,10,Unparallel,Strong category fit and good distributor-backed path though still more niche than top shoe brands,Australian distributor,sales@frictionaddiction.com.au,medium,medium
foundational_multi_angle_sponsors,1,La Sportiva Australia,Can credibly support launch product athlete relevance and long-term paid partnership,Australian distributor,sales@intertrek.com.au,high,high
foundational_multi_angle_sponsors,2,Scarpa Australia,Strong youth-title relevance and plausible crossover between seeding and long-term sponsorship,Official global brand contact form,,high,high
foundational_multi_angle_sponsors,3,Black Diamond,Can operate across giveaways brand halo and long-term paid sponsorship,Exclusive Australian distributor,info@blackdiamondequipment.com.au,high,high
foundational_multi_angle_sponsors,4,Lattice Training,Excellent cross-over between youth-performance credibility and longer-term sponsor logic,Direct brand contact,contact@latticetraining.com,high,high
foundational_multi_angle_sponsors,5,Rhino Skin Solutions,Direct sponsorship contact and strong fit across giveaways athlete support and ongoing sponsor storytelling,Direct marketing and sponsorship contact,Justin@rhinoskinsolutions.com,high,high
foundational_multi_angle_sponsors,6,Climbing Anchors,Useful as sponsor retailer bundle-builder and brand-intro node all at once,Direct retailer or wholesale contact,sales@climbinganchors.com,high,high
