sponsor_entity_id,normalized_name,endemicity_tag,scene_spend_tag,adjacency_tag,notes
sponsor_open_project,Open Project,adjacent_scene_service,local_scene_spender,community_training,Relevant community or training adjacency.
sponsor_rock_therapy_bne,Rock Therapy BNE,adjacent_scene_service,proven_scene_spender,recovery_wellness,Strong climbing-rehab fit.
sponsor_clif_bar_australia,Clif Bar Australia,adjacent_non_endemic,proven_scene_spender,nutrition_endurance,Food and nutrition brand with real climbing-scene crossover.
sponsor_koga_sport,Koga Sport,adjacent_scene_service,local_scene_spender,retail_infrastructure,Needs clearer entity confirmation but belongs in adjacent scene-commercial layer.
sponsor_nalgene_australia,Nalgene Australia,adjacent_but_core_outdoor,proven_scene_spender,outdoor_accessories,Utility outdoor brand seen in climbing event context.
sponsor_tenzing,Tenzing,adjacent_non_endemic,proven_scene_spender,energy_drink,Strong adjacent lifestyle and performance category with climbing-event relevance.
sponsor_climbing_anchors,Climbing Anchors,climbing_native,proven_scene_spender,retail_infrastructure,Top specialist retailer and wholesale node in the scene.
sponsor_la_sportiva_australia,La Sportiva Australia,climbing_native,proven_scene_spender,activation_brand,Top climbing activation and shoe-demo brand in current data.
sponsor_als_trade,ALS Trade,climbing_native,industry_only,distribution_infrastructure,Distributor route into category-native brands.
sponsor_friction_addiction,Friction Addiction,climbing_native,industry_only,distribution_infrastructure,Distributor and infrastructure node with strong brand access value.
sponsor_spelean,Spelean,adjacent_scene_service,industry_only,distribution_infrastructure,Technical distribution route into Petzl and climbing-adjacent gear.
sponsor_southern_cross_equipment,Southern Cross Equipment,adjacent_scene_service,industry_only,distribution_infrastructure,Hardware distribution node into DMM and Edelrid.
sponsor_wild_earth,Wild Earth,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Outdoor retailer with meaningful climbing catalog and scene relevance.
sponsor_mountain_equipment,Mountain Equipment,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Technical outdoor retailer with strong climbing presence.
sponsor_the_climbing_shop,The Climbing Shop,climbing_native,direct_climber_fit,retail_infrastructure,Specialist climbing retailer with strong brand visibility.
sponsor_pinnacle_sports,Pinnacle Sports,climbing_native,direct_climber_fit,retail_infrastructure,Specialist climbing retailer and service operator.
sponsor_sherpa,Sherpa,adjacent_but_core_outdoor,direct_climber_fit,retail_infrastructure,Outdoor retailer with enough climbing-specific stock to matter.
sponsor_wall_toys,Wall Toys,climbing_native,direct_climber_fit,retail_infrastructure,Climbing specialist retailer with training and hardware depth.
sponsor_bogong_equipment,Bogong Equipment,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Technical retailer with scene and media visibility.
sponsor_summit_gear,Summit Gear,adjacent_but_core_outdoor,media_familiar,retail_infrastructure,Technical retailer with media and resole-dropoff crossover.
sponsor_sticky_rubber_resoles,Sticky Rubber Resoles,climbing_native,direct_climber_fit,service_repair,Official authorized resole service with strong climber utility.
sponsor_scotty_dog_resoles,Scotty Dog Resoles,climbing_native,direct_climber_fit,service_repair,Longstanding resole service with direct scene fit.
sponsor_rubber_styx,Rubber Styx,climbing_native,direct_climber_fit,service_repair,Local climbing resole brand with strong utility.
sponsor_sticky_joes_resoles,Sticky Joe's Resoles,climbing_native,direct_climber_fit,service_repair,Authorized climbing resole service.
sponsor_climbing_resoles,Climbing Resoles,climbing_native,direct_climber_fit,service_repair,National repair service with agent network.
sponsor_ocun,Ocun,climbing_native,direct_climber_fit,gear_brand,Climbing-native gear brand with clear AU route.
sponsor_unparallel,Unparallel,climbing_native,direct_climber_fit,shoe_brand,Performance shoe brand with distributor-backed AU route.
sponsor_petzl,Petzl,climbing_native,media_familiar,gear_brand,Major technical climbing brand with distributor route and retail presence.
sponsor_dmm,DMM,climbing_native,direct_climber_fit,gear_brand,Technical climbing hardware brand with AU distribution route.
sponsor_edelrid,Edelrid,climbing_native,direct_climber_fit,gear_brand,Climbing hardware and rope brand with AU distribution route.
sponsor_evolv,Evolv,climbing_native,direct_climber_fit,shoe_brand,Climbing shoe brand with resolved AU distributor path.
sponsor_tenaya,Tenaya,climbing_native,direct_climber_fit,shoe_brand,Performance shoe brand with direct brand contact and AU retail presence.
sponsor_beastmaker,Beastmaker,climbing_native,direct_climber_fit,training_performance,Training-board brand with clear indoor-climber fit.
sponsor_crux_gear,Crux Gear,climbing_native,direct_climber_fit,training_performance,Australian training product brand.
sponsor_climbskin,Climbskin,climbing_native,direct_climber_fit,recovery_wellness,Climbing skin-care brand with strong newsletter relevance.
sponsor_butora,Butora,climbing_native,direct_climber_fit,shoe_brand,Climbing shoe brand with AU retailer route.
sponsor_beal,Beal,climbing_native,direct_climber_fit,gear_brand,Climbing rope and hardware brand with AU retail presence.
sponsor_tendon,Tendon,climbing_native,direct_climber_fit,gear_brand,Climbing rope brand with AU retail presence.
sponsor_wide_boyz,Wide Boyz,climbing_native,direct_climber_fit,training_performance,Training-adjacent climbing brand.
sponsor_redpoint_climbing,Redpoint Climbing,climbing_native,direct_climber_fit,gear_brand,Australian climbing brand with direct consumer relevance.
sponsor_mammut,Mammut,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Technical mountain brand with climbing-media history and ANZ route.
sponsor_patagonia,Patagonia,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Outdoor brand with climbing credibility and media presence.
sponsor_the_north_face,The North Face,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Outdoor brand with climbing adjacency and media presence.
sponsor_rhino_skin_solutions,Rhino Skin Solutions,climbing_native,direct_climber_fit,recovery_wellness,Climbing-specific skin-care brand with direct sponsorship contact.
sponsor_friction_labs,Friction Labs,climbing_native,direct_climber_fit,consumables_chalk,Premium climbing chalk and hand-care brand with AU specialist retail presence.
sponsor_chalk_cartel,Chalk Cartel,climbing_native,direct_climber_fit,consumables_chalk,Climber-led chalk brand with athlete dealer and event-support language.
sponsor_reset,Reset,climbing_native,direct_climber_fit,consumables_chalk,Climbing-native accessories and chalk brand with AU distributor route.
sponsor_lattice_training,Lattice Training,climbing_native,direct_climber_fit,training_performance,High-fit training and coaching brand with indoor-climber relevance.
sponsor_getya,Getya,adjacent_scene_service,direct_climber_fit,consumables_chalk,Lower-signal chalk brand still worth tracking in consumables lane.
