entity_id,entity_name,entity_type,subtype,geography_scope,website,contact_email,contact_phone,primary_source_url,status,notes
entity_sticky_joes_resoles,Sticky Joe's Resoles,business,shoe_resoler,Australia,https://stickyjoes.com.au/,,,https://stickyjoes.com.au/,verified,Authorised La Sportiva resoler with climbing shoe repair focus.
entity_climbing_resoles,Climbing Resoles,business,shoe_resoler,ACT|National,https://www.climbingresoles.com.au/,climbingresolesaustralia@gmail.com,"+61 0426 252 715",https://www.climbingresoles.com.au/about-us,verified,Canberra-based climbing shoe restoration company with agent and partner model across Australia.
entity_summit_gear,Summit Gear,business,retailer_and_dropoff_partner,NSW,https://summitgear.com.au/,,,https://summitgear.com.au/pages/la-sportiva-shoe-resoles,verified,Blue Mountains retailer acting as official drop-off point for Sticky Rubber resoles.
entity_la_sportiva_au,La Sportiva Australia,brand,climbing_footwear,Australia,,,,User-provided social evidence plus retailer stock pages,verified,High-priority activation brand with multi-gym event activity in Australia.
entity_scarpa_au,Scarpa Australia,brand,climbing_footwear,Australia,,,,User-provided social evidence plus reseller and resoler pages,verified,High-priority activation and demo-night brand.
entity_black_diamond_au,Black Diamond,brand,climbing_gear,Australia,https://blackdiamondequipment.com.au/,,,https://blackdiamondequipment.com.au/,verified,High-fit global climbing brand with Australian market presence.
entity_ocun,Ocun,brand,climbing_gear,Australia,,,,https://www.alstrade.com.au/ocun-sport.html,verified,Brand with visible Australian distributor route through ALS Trade.
entity_singing_rock,Singing Rock,brand,climbing_gear,Australia,,,,https://www.alstrade.com.au/,verified,Brand with visible Australian distributor route through ALS Trade.
entity_unparallel,Unparallel,brand,climbing_footwear,Australia|NZ|Oceania,,,,https://www.frictionaddiction.com.au/,verified,Brand distributed regionally by Friction Addiction.
entity_reset,Reset,brand,climbing_holds_and_accessories,Australia|NZ|Oceania,,,,https://www.frictionaddiction.com.au/,verified,Brand appears in both distributor and gym pro shop contexts.
entity_evolv,Evolv,brand,climbing_footwear,Australia,,,,https://www.wildearth.com.au/buy/evolv-agro-rock-climbing-shoes/EAGRO,verified,Specialist climbing shoe brand with visible Australian retail presence through Wild Earth.
entity_tenaya,Tenaya,brand,climbing_footwear,Australia,,,,https://www.wildearth.com.au/brand/Tenaya,verified,Specialist climbing shoe brand with visible Australian retail presence through Wild Earth.
entity_beastmaker,Beastmaker,brand,training_products,Australia,,,,https://mountainequipment.com/collections/climb,verified,Well-known hangboard and training brand visible in Australian climbing retail.
entity_betastick,Betastick,brand,climbing_accessories,Australia,,,,https://mountainequipment.com/collections/brands,verified,Climbing accessory brand visible in Australian climbing retail.
entity_climb_culture,Climb Culture,brand,apparel_and_media,Australia,,,,https://www.wildearth.com.au/brand/Climbing-Culture,verified,Climber-focused apparel and community brand stocked in Australian retail.
entity_climbing_gems,Climbing Gems,brand,climbing_accessories,Australia,,,,https://www.wildearth.com.au/brand/Climbing-Gems,verified,Chalk bag and accessories brand with visible Australian retail presence.
entity_crux_gear,Crux Gear,brand,training_products,Australia,,,,https://www.wildearth.com.au/brand/Crux-Gear,verified,Australian climber-founded training tool brand stocked by Wild Earth.
entity_climbskin,Climbskin,brand,skin_care_recovery,Australia,,,,https://www.wildearth.com.au/brand/Climbskin,verified,Skin care and hand repair brand with direct relevance to committed climbers.
entity_wide_boyz,Wide Boyz,brand,training_products,Australia,,,,https://www.sherpa.com.au/climb/,verified,Training and crack-climbing accessories brand visible in Sherpa's climb category filters.
entity_redpoint_climbing,Redpoint Climbing,brand,climbing_footwear_and_chalk,Australia,https://www.redpointclimbing.com.au/,support@redpointclimbing.com.au,,https://www.redpointclimbing.com.au/pages/about-redpoint-climbing-shoes,verified,Australian climbing brand focused on shoes chalk and entry-point products with national stockist ambitions.
entity_butora,Butora,brand,climbing_footwear,Australia,,,,https://www.climbinganchors.com.au/wholesale,needs_review,Visible in Australian retailer stocking but distributor path still unclear.
entity_beal,Beal,brand,ropes_and_hardware,Australia,,,,https://www.climbinganchors.com.au/wholesale,needs_review,Visible in Australian retailer stocking but distributor path still unclear.
entity_wild_country,Wild Country,brand,climbing_gear,Australia,,,,https://www.wildearth.com.au/brand/Wild-Country,verified,Visible across Australian retailer and gym pro shop stocking.
entity_tendon,Tendon,brand,ropes,Australia,,,,https://www.oasisclimbing.com.au/proshop,needs_review,Visible in Australian retailer/gym stocking and worth tracing to distributor.
entity_petzl,Petzl,brand,climbing_gear,Australia,,,,https://www.oasisclimbing.com.au/proshop,needs_review,Major climbing and industrial crossover brand stocked in AU pro shops.
entity_dmm,DMM,brand,climbing_gear,Australia,,,,https://www.oasisclimbing.com.au/proshop,needs_review,Visible in AU gym pro shop stocking.
entity_edelrid,Edelrid,brand,climbing_gear,Australia,,,,https://www.oasisclimbing.com.au/proshop,needs_review,Visible in AU gym pro shop stocking.
entity_axis,Axis,brand,climbing_hardware,Australia,,,,https://www.sherpa.com.au/climb/,verified,Brand visible in Sherpa climb category filters.
entity_onsight_photography,Onsight Photography,brand,media_and_photography,Australia,,,,https://www.sherpa.com.au/climb/,verified,Brand visible in Sherpa climb category filters and relevant as a climbing media/accessory crossover.
entity_metolius,Metolius,brand,training_and_hardware,Australia,,,,https://www.wildearth.com.au/buy/metolius-dynamic-pas-red-green/MT-PASDR,verified,Climbing hardware and training brand visible in AU retail.
entity_awesome_woodys,Awesome Woodys,brand,training_products,Australia,https://awesomewoodys.com/,info@awesomewoodys.com,,https://awesomewoodys.com/,verified,Australian climbing training brand already present in sponsor master.
entity_climbing_anchors_mini_store,Climbing Anchors Mini Store,location,retail_activation_point,NSW,,,,User-provided Urban Climb social evidence,needs_review,Useful to track retail activation points embedded in gyms.
